year,state,region,fao,common_name,sub_group,isscaap,major_group,type,count,count_metric,weight,weight_metric,bushels,usd_value_2018inflation,tonnes
2016,Alabama,GOM,"Atlantic, Western Central",oyster,oyster,Oysters,mollusc,food,2698755,# sold,NA,NA,NA,NA,NA
2017,Alabama,GOM,"Atlantic, Western Central",oyster,oyster,Oysters,mollusc,food,1460513,# sold,NA,NA,NA,NA,NA
2018,Alabama,GOM,"Atlantic, Western Central",oyster,oyster,Oysters,mollusc,food,1643786,# sold,NA,NA,NA,NA,NA
2019,Alabama,GOM,"Atlantic, Western Central",oyster,oyster,Oysters,mollusc,food,2366979,# sold,NA,NA,NA,NA,NA
1990,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,10410,lb sold,NA,59529.87,4.7
1990,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,214493,# sold,NA,NA,NA,132944.73,NA
1991,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,17076,lb sold,NA,54634.03,7.7
1991,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,243985,# sold,NA,NA,NA,148903.00,NA
1992,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,757688,# sold,NA,NA,NA,468172.71,NA
1993,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,1147035,# sold,NA,NA,NA,760656.56,NA
1994,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,3263,lb sold,NA,14158.45,1.5
1994,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,850001,# sold,NA,NA,NA,511611.72,NA
1995,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,4334,lb sold,NA,17145.79,2
1995,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,859924,# sold,NA,NA,NA,479244.99,NA
1996,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,6935,lb sold,NA,26459.20,3.1
1996,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,774150,# sold,NA,NA,NA,459409.60,NA
1997,Alaska,Pacific/Arctic,"Pacific, Northeast",clam,clam,"Clams, cockles, arkshells",mollusc,food,NA,NA,35014,lb sold,NA,146904.99,15.9
1997,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,6153,lb sold,NA,20917.79,2.8
1997,Alaska,Pacific/Arctic,"Pacific, Northeast",oyster,oyster,Oysters,mollusc,food,822144,# sold,NA,NA,NA,472531.41,NA
1998,Alaska,Pacific/Arctic,"Pacific, Northeast",clam,clam,"Clams, cockles, arkshells",mollusc,food,NA,NA,28166,lb sold,NA,137152.08,12.8
1998,Alaska,Pacific/Arctic,"Pacific, Northeast",mussel,mussel,Mussels,mollusc,food,NA,NA,4731,lb sold,NA,19319.52,2.1
